architecture,cell_count,cell_area_m2,module_area_m2,stc_temperature_c,stc_irradiance_w_m2,module_pmax_stc_w,module_voc_stc_v,beta_tandem_mV_per_k,gamma_pmax_percent_per_k,annual_yield_kwh,average_module_voc_all_hours_v,average_module_voc_sunlit_hours_v,max_module_voc_v,timestamp_of_max_voc,min_module_voc_all_hours_v,timestamp_of_min_voc_all_hours,min_module_voc_sunlit_hours_v,timestamp_of_min_voc_sunlit_hours,faiman_u0_w_m2k,faiman_u1_wsm3k,module_height_m,wind_shear_exponent
Tandem_2T,60,0.027500,1.650000,25.00,1000.0,155.366,125.072,-4.134,-0.221,376.823,56.715,114.871,124.965,2023-02-24T13:09,0.000,2023-01-01T00:09,69.196,2023-08-01T19:09,25.000,6.840,2.00,0.140
Tandem_4T_eq,60,0.027500,1.650000,25.00,1000.0,410.133,125.072,-4.134,-0.176,1004.461,56.715,114.871,124.965,2023-02-24T13:09,0.000,2023-01-01T00:09,69.196,2023-08-01T19:09,25.000,6.840,2.00,0.140
