metric,unit,baseline_temperature_k,baseline_temperature_c,baseline_value,target_temperature_k,target_temperature_c,target_value,absolute_change,relative_change_percent,trend
Jtop_minus_Jbottom,mA/cm2,300.000000,26.850000,15.139966,338.150000,65.000000,15.169248,0.029283,0.193412,widens
Jtop_over_Jbottom,ratio,300.000000,26.850000,3.802135,338.150000,65.000000,3.819499,0.017364,0.456678,widens
